id,title,original_language,release_date,vote_count,vote_average,adult,genre_names
505330,The Mother's Island,ko,28-08-13,1,8,FALSE,Horror
505332,Dead End Demon,pt,05-12-17,1,10,FALSE,Horror
505429,Troy Loxton's Father,en,01-11-17,2,5.5,FALSE,Horror
505557,Blood Vow,en,01-06-18,1,10,FALSE,"Horror, Thriller"
505562,The Keys,en,13-10-17,0,0,FALSE,Horror
505587,Cursed,en,01-01-13,1,7,FALSE,"Horror, Thriller"
505675,Harker,en,04-11-05,2,8.5,FALSE,"Animation, Horror"
505690,Miracle: Menantang Maut,id,13-12-07,1,1,FALSE,"Horror, Mystery, Thriller"
505695,Splatter Movie,en,01-01-11,0,0,FALSE,"Comedy, Horror"
505816,M.O.N.,en,15-05-06,0,0,FALSE,"Horror, Thriller"
505898,Devil's Night,en,19-03-14,0,0,FALSE,Horror
505920,Other Lily,fr,06-02-17,2,4,FALSE,"Animation, Horror"
505936,Setan Budeg,id,08-01-09,0,0,FALSE,"Comedy, Horror"
506048,Deadtime Tales,en,so turn off the light and enjoy these 3 tales of horror,gore and supernatural mayhem. A haunted antique,"a deadly gameshow and a cursed park are the subjects of tonight's Deadtime Tales that will keep you up with the lights on and door locked. Goodnight... forever!\"",0,0
506060,Elise's Nightmare,en,12-03-17,1,0,FALSE,Horror
506383,Granny,en,24-05-15,0,0,FALSE,Horror
506400,Creepy Clowns,en,21-04-16,0,0,FALSE,Horror
506413,The Undone,en,01-01-17,0,0,FALSE,Horror
506458,Terror da Vermelha,pt,"Piau.\"",01-01-72,0,Released,FALSE
506548,Sleepy Eyes,en,31-01-16,3,7.3,FALSE,Horror
506603,The Birth of a Monster,fr,03-02-18,0,0,FALSE,Horror
506636,Your Filthy Heart,en,23-02-18,3,7.8,FALSE,Horror
506648,Go Go Kamen Rider,ja,18-07-71,0,0,FALSE,"Action, Adventure, Horror, Mystery, Science Fiction"
506882,Terror Phone,en,16-12-08,0,0,FALSE,"Comedy, Horror"
506900,The Haunting of Leslie,en,16-02-18,0,0,FALSE,Horror
506905,Terror Phone II: The Legend of Rakenstein,en,01-06-10,0,0,FALSE,"Comedy, Horror"
506925,Terror Phone III: R3-D1AL3D,en,11-10-11,0,0,FALSE,"Comedy, Horror"
506952,Raydon,en,06-12-05,0,0,FALSE,"Comedy, Horror"
506960,This Changed Earth,en,30-08-11,0,0,FALSE,Horror
507040,Raa Raa,te,23-02-18,0,0,FALSE,"Comedy, Horror"
507053,Slash of the Knife,en,27-01-76,0,0,FALSE,"Comedy, Horror"
507096,Scary Tales,en,01-01-01,0,0,FALSE,Horror
507185,The Madame in Black,sv,Alex and his sister,Emma,"experience the wrath of the evil witch Madame in Black.\"",1,7
507186,Embarrassment,pt,18-12-15,0,0,FALSE,"Drama, Horror, Mystery"
507221,Margaux,fr,10-12-16,1,7,FALSE,"Drama, Horror"
507253,I Love Eva Marsh,fr,and come back. But Ben fails miserably. At night,"the Creature appears to him.\"",10-06-17,6,Released
507298,Maggie's Problem,en,24-07-15,0,0,FALSE,"Comedy, Horror"
507327,Haunted Dormitory: Marionette Teacher,zh,14-04-17,0,0,FALSE,"Horror, Mystery"
507331,A Girl,en,as well as in her dreams,and he slowly takes over her mind,"manipulating and tormenting  her as she is pulled between sexual desire and sexual guilt.\"",1,6
507336,When Evil Reigns,en,25-02-06,1,4,FALSE,Horror
507338,Horoscope II: The Woman From Hell,cn,24-03-00,0,0,FALSE,Horror
507339,Haunted Dormitory: White Paper Girl,zh,25-03-17,1,3,FALSE,Horror
507434,Animal Kingdom,en,25-02-17,0,0,FALSE,Horror
507489,Anti-Pervert Manual,cn,09-10-08,0,0,FALSE,"Comedy, Horror"
507582,Scuttlers,en,01-02-22,0,0,FALSE,"Drama, Horror, Thriller"
507938,Reawakened,en,28-04-20,2,10,FALSE,Horror
507946,#MurderSelfie,en,31-10-15,1,3,FALSE,"Comedy, Horror"
507979,Elly,en,01-02-17,1,6,FALSE,Horror
507981,Carnival of Sorrows,en,20-10-18,0,0,FALSE,Horror
508023,Asian Girls,zh,09-03-18,4,6,FALSE,"Horror, Thriller"
508039,Pontien: Pontianak Untold Story,id,23-03-16,0,0,FALSE,Horror
508231,Last Bus Home,en,10-04-13,4,4.5,FALSE,"Horror, Thriller"
508233,Be Mine,en,14-02-17,2,6,FALSE,Horror
508234,Demon of the Flats,en,30-12-12,0,0,FALSE,Horror
508237,Surgery,en,30-07-15,2,8,FALSE,Horror
508242,Rash,en,25-11-14,1,4,FALSE,Horror
508244,A Night Alone,en,05-01-18,0,0,FALSE,Horror
508245,tEXt,en,28-11-17,5,7.2,FALSE,"Horror, Thriller"
508248,The Lift,en,25-10-09,1,2,FALSE,Horror
508301,Below the Trees,en,21-10-18,0,0,FALSE,"Drama, Horror, Mystery"
508338,The Necrotic,en,05-06-78,1,5,FALSE,Horror
508385,Wayfarers,en,26-05-17,0,0,FALSE,"Comedy, Horror, Science Fiction"
508406,The Oven,en,18-08-17,1,6,FALSE,Horror
508431,Tattooist,en,17-05-17,0,0,FALSE,Horror
508451,Cruel Perdn,en,27-04-16,0,0,FALSE,Horror
508482,Family Dinner,en,04-12-16,1,2,FALSE,Horror
508483,Vandals,en,08-07-17,1,5,FALSE,Horror
508485,The Negative,en,14-08-17,0,0,FALSE,Horror
508487,Take the Stairs,en,15-06-17,2,5,FALSE,Horror
508489,Family Curse,en,20-07-17,0,0,FALSE,Horror
508495,Lovesick,en,26-06-17,0,0,FALSE,Horror
508509,Last Act,fr,31-10-16,0,0,FALSE,"Animation, Comedy, Drama, Horror"
508592,Kropemann,en,"an ancient Luxembourg legend which was originally told to children to stop them from going near bodies of water to keep them safe from drowning.\"",11-11-16,0,Released,FALSE
508741,#MerrittXanadu44,en,18-02-13,0,0,FALSE,"Comedy, Drama, Horror"
508821,The Shaman,id,03-03-08,1,6,FALSE,Horror
508881,Sacrifice 97,id,20-04-14,0,0,FALSE,Horror
509097,Endless Corridor,sr,18-10-13,0,0,FALSE,Horror
509098,Alem-i Cin,tr,,,,,
23-02-18,0,0,FALSE,Horror,,,
509101,You Going to Die,en,01-01-14,0,0,FALSE,Horror
509166,Doll Murder Spree,en,24-10-17,0,0,FALSE,Horror
509174,Long Gone,en,04-08-17,0,0,FALSE,"Horror, Thriller"
509183,Mother's Day,en,06-05-16,0,0,FALSE,"Comedy, Horror"
509511,Order of the Ram,en,03-11-13,0,0,FALSE,Horror
509525,Cellphone PSA,en,12-06-17,0,0,FALSE,Horror
509528,Summersale,en,12-11-13,1,5,FALSE,Horror
509534,Missing Girl,en,10-04-17,0,0,FALSE,Horror
509538,He Lives in the Woods,en,29-05-17,1,5,FALSE,Horror
509564,The Demonic Doll,en,23-08-17,2,3,FALSE,Horror
509752,Cruising Purgatory,en,30-05-00,0,0,FALSE,"Comedy, Horror"
509856,Morok,ru,25-03-16,0,0,FALSE,Horror
510279,Incarnation of the Devil,id,08-03-18,1,6,FALSE,Horror
510337,The Possessed,zh,04-04-18,8,6,FALSE,"Horror, Thriller"
510346,Lethal Obsession,en,05-07-10,0,0,FALSE,Horror
510807,El Peste,tl,09-03-18,0,0,FALSE,"Drama, Horror"
510840,Bloody Dracula,hi,01-01-92,0,0,FALSE,Horror
510883,The Darkest,fr,27-11-19,1,10,FALSE,Horror
510959,Difficulty Breathing,ja,15-07-17,1,9,FALSE,Horror
511406,Puzzle Punk,de,01-01-02,0,0,FALSE,"Horror, Mystery"
511612,Second coming,et,28-03-08,0,0,FALSE,"Drama, Horror"
511782,The Girl in the Mirror,en,20-02-20,2,3,FALSE,"Horror, Thriller"
511916,The Hitchhiker,fr,26-08-14,1,6,FALSE,"Comedy, Horror, Thriller"
511957,The Paranoid,es,01-01-75,1,2,FALSE,Horror
512270,Shadow,ml,16-03-18,1,4,FALSE,Horror
512408,Ugly Sweater Party,en,23-11-18,2,5.5,FALSE,"Comedy, Horror"
512499,Dead End,en,01-12-80,0,0,FALSE,Horror
512503,"The Dead, The Flesh, and The Devil",es,01-01-73,0,0,FALSE,"Drama, Horror"
512530,Dracula's Wedding Day,en,01-01-67,0,0,FALSE,Horror
512736,FrankenThug,en,31-12-17,0,0,FALSE,Horror
512835,Reyes,en,31-12-21,0,0,FALSE,"Horror, Mystery, Thriller"
512861,Abduction Day,en,01-01-13,0,0,FALSE,"Comedy, Horror, Science Fiction"
512965,Feed Your Demons,en,18-01-18,0,0,FALSE,"Adventure, Animation, Horror, Mystery, Thriller"
513260,Caged,en,20-03-18,3,5,FALSE,"Horror, Mystery"
513278,Don't Let Her Out,en,31-10-16,1,10,FALSE,Horror
513303,Pretty Boy,en,25-08-17,1,2,FALSE,Horror
513306,Karen,en,09-09-16,0,0,FALSE,"Horror, Thriller"
513313,Karen,en,03-06-16,0,0,FALSE,"Horror, Romance"
513405,I Can't Breathe,en,22-11-14,0,0,FALSE,"Animation, Comedy, Horror"
513452,Run Rabbit,en,05-11-18,0,0,FALSE,"Drama, Horror, Thriller"
513774,Dont Go Down to Wildor,en,11-04-18,3,6.7,FALSE,Horror
513867,Rumah Pasung,en,28-04-16,0,0,FALSE,Horror
513965,The Humans and The Jinns,ar,04-11-85,2,4,FALSE,"Drama, Horror, Mystery"
513980,After Midnight,id,26-03-07,0,0,FALSE,Horror
513985,Mirror,id,26-03-05,0,0,FALSE,Horror
513989,Terowongan Casablanca,id,26-03-07,0,0,FALSE,Horror
513999,Ghost on the Bridge,id,31-01-08,0,0,FALSE,Horror
514094,Dancing with The Devil,ar,19-07-93,1,6,FALSE,"Drama, Horror, Thriller"
514210,Skin Baby,en,02-02-18,0,0,FALSE,Horror
514233,Mister Sticks,en,17-03-18,0,0,FALSE,Horror
514256,The Cloning of Clifford Swimmer,en,01-11-74,1,6,FALSE,"Horror, Mystery, Science Fiction, Thriller, TV Movie"
514440,Nurse Will Make It Better,en,11-01-75,1,7,FALSE,"Horror, Mystery, TV Movie"
514507,Hotel Camarillo,en,11-05-19,0,0,FALSE,"Documentary, Horror"
514644,Count Your Curses,fr,09-11-17,0,0,FALSE,"Comedy, Fantasy, Horror"
514653,Menhir,xx,27-03-18,0,0,FALSE,"Fantasy, Horror"
514760,Umberto Temple Room,xx,11-03-14,0,0,FALSE,Horror
514767,The Silent Scream,en,07-10-17,0,0,FALSE,Horror
514821,Xng 13,vi,he just likes to play with the cold hardened mannequins. Every day,dearly sing and confide in them. Dead for a year but at twilight people still hear Hien's voice pensive a song of singer Thuy Nhi as crying grievances. The mannequins who were friends with him in the past also often move for unknown reasons.  They believe that Mr. Hieu's ghost is not still in the factory 13.  Determined to have a clip to view millions,"a group of young people broke into the factory to find the truth.\"",6,6.7
514985,Just a Child,it,01-01-19,1,2,FALSE,Horror
515068,Rodriguez: Creation,en,06-01-18,0,0,FALSE,"Comedy, Horror"
515159,1:50 AM,bn,30-03-18,0,0,FALSE,"Horror, Thriller"
515254,Then The Night Comes,en,09-10-18,0,0,FALSE,"Horror, Thriller"
515376,Odokuro,en,05-08-11,1,6,FALSE,"Animation, Horror"
515425,Penance,en,30-08-17,0,0,FALSE,Horror
515581,Compulsion,en,20-10-17,4,5.4,FALSE,"Horror, Mystery, Thriller"
515618,Pinky,ja,23-05-12,1,7.5,FALSE,"Animation, Horror"
515627,C.L.A.Y.,ja,27-05-12,0,0,FALSE,"Animation, Horror"
515689,Dead World,en,16-09-16,0,0,FALSE,"Animation, Horror"
515781,The Forces of Horror Anthology: Volume I,en,11-11-17,0,0,FALSE,Horror
515926,Retreat,en,26-08-17,1,6,FALSE,"Drama, Horror, Thriller"
516023,Hi-Death,en,"five new tales to blow your mind.\"",03-03-18,0,Released,FALSE
516035,Killer Looks,en,15-10-17,2,3.5,FALSE,"Comedy, Horror"
516163,Bloody Night,ja,04-04-06,1,7,FALSE,"Animation, Horror"
516182,Broken Flesh Ecstasy,fr,01-01-05,0,0,FALSE,Horror
516327,MAID OF THE DEAD,ja,07-10-13,1,7,FALSE,"Animation, Horror"
516578,A Fistful of Molars,en,01-01-18,0,0,FALSE,Horror
516664,Piety,en,01-01-17,0,0,FALSE,"Crime, Drama, Horror"
516695,Camp Hideaway Massacre,en,14-02-18,0,0,FALSE,Horror
516776,Native Son,en,15-05-10,0,0,FALSE,"Drama, Horror"
516778,Transgression,en,29-03-94,1,6,FALSE,"Drama, Horror"
517046,The New World Horror,en,08-04-18,0,0,FALSE,Horror
517217,Evil Has A Grin,en,20-04-13,0,0,FALSE,Horror
517226,Book of the Dead,en,18-01-18,2,4,FALSE,"Animation, Horror, Mystery"
517272,Ek Nanhi Munni Ladki Thi,en,08-04-70,0,0,FALSE,Horror
517414,The Hangman,nl,15-04-18,1,8,FALSE,Horror
517415,Sandwitch,en,15-04-18,1,8,FALSE,"Comedy, Horror"
517416,Meet Jimmy,en,15-04-18,0,0,FALSE,Horror
517419,Salvatore,nl,01-01-17,3,7,FALSE,Horror
517473,Hipster Holocaust,en,22-09-11,0,0,FALSE,Horror
517846,Just Like a Mother,ja,01-01-15,0,0,FALSE,Horror
518049,God's Sentence,pt,01-01-72,0,0,FALSE,Horror
518057,Lace Monster,en,25-10-17,0,0,FALSE,Horror
518076,Whistle,en,01-09-15,1,8,FALSE,"Crime, Fantasy, Horror, Thriller"
518087,Sophie's Turn,en,01-12-17,2,7,FALSE,Horror
518125,Under the Bed,en,01-01-88,0,0,FALSE,"Comedy, Family, Horror"
518224,Sonata for a Sad Man,pt,14-07-16,0,0,FALSE,"Drama, Horror"
518237,Bride of Frankie,en,16-06-17,1,6,FALSE,"Horror, Science Fiction"
518239,Film Horor,en,02-12-07,6,8.8,FALSE,"Comedy, Horror"
518428,Delirium: What's Your Worst Fear?,en,23-12-16,1,7,FALSE,Horror
518429,Entropia,en,15-09-17,1,8,FALSE,Horror
518430,Sarah's Dream,en,17-03-18,1,6,FALSE,Horror
518433,The Candle,en,21-04-17,2,8.5,FALSE,Horror
518444,The Vicar,de,26-10-15,1,7,FALSE,Horror
518505,DOTGA: Da One That Ghost Away,tl,18-04-18,0,0,FALSE,"Comedy, Horror"
518695,Don't Go Into the Pool at Night,en,01-04-17,1,6,FALSE,Horror
518701,Is Someone in There,en,15-04-18,1,7,FALSE,Horror
518710,Porcelain Stare,de,12-09-17,1,7,FALSE,Horror
518711,Photokill,en,28-07-17,1,7,FALSE,"Horror, Thriller"
518714,The Dark Hunger,en,07-01-17,1,6,FALSE,Horror
518901,What's for Dinner?,en,22-09-17,1,7,FALSE,"Comedy, Horror"
518993,Birthrite,en,06-01-08,1,2,FALSE,"Horror, Thriller"
519027,FANG,en,10-04-18,0,0,FALSE,Horror
519054,Survivorz,en,19-11-17,2,2.8,FALSE,Horror
519137,The Night of Plastic Bags,fr,17-05-18,8,6.6,FALSE,"Animation, Horror"
519150,The Crimes of All Hallows' Day,es,08-02-16,7,3.9,FALSE,Horror
519301,Midnight Clear,en,21-12-17,2,5.5,FALSE,"Horror, Thriller"
519317,Hantu Tanah Kusir,id,25-11-10,0,0,FALSE,Horror
519319,Kalung Jelangkung,id,20-04-11,0,0,FALSE,"Comedy, Horror"
519582,Cellar Secret,en,04-10-16,3,1.5,FALSE,"Horror, Thriller"
519589,Mystery Zone: Soul Eating Hill,zh,21-07-17,1,2,FALSE,"Adventure, Horror, Thriller"
519657,Unterwelt - The World Beyond,de,01-04-18,0,0,FALSE,"Fantasy, Horror, Thriller"
519757,Hikiko-san vs. Sadako,ja,05-08-15,1,5,FALSE,Horror
519758,Under the Stairs,en,31-10-17,1,5,FALSE,Horror
519848,Bloodrunner Zero,ja,29-04-18,0,0,FALSE,Horror
519882,Helsinki Mansplaining Massacre,fi,21-04-18,9,5.4,FALSE,"Comedy, Horror"
520082,Fangs For Nothing,en,23-04-08,0,0,FALSE,Horror
520162,Death Virgins,en,03-05-18,0,0,FALSE,Horror
520171,Close Encounters of the Inbred Redneck Kind,en,01-01-12,0,0,FALSE,"Comedy, Horror, Science Fiction"
520235,Tales Beyond Madness,en,01-01-18,5,3,FALSE,Horror
520579,Naakhara,ru,01-01-07,0,0,FALSE,"Horror, Mystery"
520618,Traditional Family Vampires,en,20-06-00,0,0,FALSE,"Comedy, Horror"
520714,Pocong Jalan Blora,id,27-08-09,0,0,FALSE,Horror
520795,Friday the 13th: No Man's Land,en,31-10-10,1,2,FALSE,Horror
520798,Evil Spirit,ru,14-01-16,1,9,FALSE,"Horror, Mystery, Thriller"
520914,3 AM: A Paranormal Experience,hi,26-09-14,1,5,FALSE,"Horror, Romance"
520981,Night Crosser,fr,01-07-17,2,6,FALSE,"Comedy, Fantasy, Horror"
521078,Eyelash,en,28-04-18,0,0,FALSE,Horror
521260,L'uomo del sogno,it,10-08-93,0,0,FALSE,Horror
521340,Dysmorphia,en,28-01-18,1,6,FALSE,"Horror, Science Fiction"
521357,Living Nightmare,en,01-01-01,0,0,FALSE,Horror
521358,Don't Turn Around,en,01-01-04,0,0,FALSE,Horror
521360,Angus Valley Farms,en,these innocents unleash an eviscerating horror that transcends their most depraved nightmares. Jeremy Isbell directs from his own original script; the film stars Isbell,Zuriel Noveskey,Tosha Jennings,"Travis Azbill and Nicole Bassinger.\"",01-01-05
521366,Pocong Setan Jompo,id,30-04-09,0,0,FALSE,Horror
521368,Sumiati: The Urban Legend,id,30-04-15,0,0,FALSE,Horror
521375,Terowongan Rumah Sakit,id,30-04-09,0,0,FALSE,Horror
521393,Fade to Black,en,31-03-01,1,4,FALSE,"Drama, Horror, Mystery"
521458,Lullaby,en,26-10-17,0,0,FALSE,Horror
521479,Angus Valley Farms 2,en,21-10-08,0,0,FALSE,Horror
521480,Viagem Sem Volta,pt,01-01-17,0,0,FALSE,Horror
521482,Madman,en,29-08-06,0,0,FALSE,Horror
521485,Madman 2,en,16-12-08,0,0,FALSE,Horror
521487,Til Death: Bloodbath,en,16-12-08,0,0,FALSE,Horror
521490,Living Nightmare 2,en,21-10-08,0,0,FALSE,Horror
521499,P.O.V.,en,06-10-09,0,0,FALSE,Horror
521559,Bloody Game,en,20-12-17,0,0,FALSE,Horror
521563,Twisted Tales 2,en,01-10-00,0,0,FALSE,Horror
521566,Revenge,cs,02-01-68,0,0,FALSE,"Animation, Fantasy, Horror"
521588,The Good Book,en,05-01-00,0,0,FALSE,"Horror, Science Fiction"
521614,Enam,ms,28-04-18,0,0,FALSE,Horror
521832,Swallow,en,13-10-13,0,0,FALSE,"Comedy, Horror"
521849,Dec-13,ta,05-01-18,0,0,FALSE,"Action, Horror"
521850,The Thin Man,en,05-06-15,2,3,FALSE,"Drama, Horror, Mystery"
521985,Hannah,en,01-05-18,1,3,FALSE,Horror
522051,Karma,id,24-07-08,1,7,FALSE,"Drama, Horror"
522058,Genderuwo,id,06-09-07,0,0,FALSE,Horror
522063,#YoureDead,en,26-10-17,0,0,FALSE,Horror
522122,Greedy Appetite,id,01-01-77,0,0,FALSE,"Crime, Drama, Horror, Mystery"
522133,Revenge on Kliwon Friday,id,01-01-87,0,0,FALSE,Horror
522134,Anaphora,ru,19-08-16,0,0,FALSE,Horror
522165,The Maling Kuburans,id,02-07-09,0,0,FALSE,"Comedy, Horror"
522297,Trial by Terror,en,01-01-83,0,0,FALSE,"Horror, Thriller"
522314,Mystery of the Old Well,id,01-01-87,0,0,FALSE,"Drama, Horror"
522567,Vettai Karuppar Ayya,ta,28-08-17,0,0,FALSE,Horror
522649,Maw,nl,07-04-18,2,5.5,FALSE,"Drama, Horror"
522650,Tokyo Halloween Night,ja,10-11-13,0,0,FALSE,"Comedy, Fantasy, Horror, Romance"
522730,Blood Pen,en,05-05-18,1,8,FALSE,"Fantasy, Horror, Thriller"
522764,Cobra's Bite,id,01-01-86,1,7,FALSE,Horror
522769,Soul of the Magical Child,id,01-01-88,0,0,FALSE,Horror
522781,Magic of Love,ru,15-04-16,0,0,FALSE,"Horror, Thriller"
522806,Dead Week,en,06-06-14,0,0,FALSE,"Drama, Horror"
522919,The Abyss of Man,en,21-04-18,0,0,FALSE,"Drama, Horror"
522987,Inside Evil,en,15-01-17,0,0,FALSE,Horror
523033,The Ketchup Vampires,en,26-09-95,0,0,FALSE,"Adventure, Animation, Horror"
523041,The Violence Movie 2,en,31-12-88,0,0,FALSE,Horror
523093,The Jester,en,01-01-07,2,4.3,FALSE,Horror
523202,Exorcism Master,zh,01-12-17,0,0,FALSE,"Action, Comedy, Fantasy, Horror"
523263,Drum Wave,en,16-06-18,3,4.7,FALSE,"Drama, Horror"
523346,Carnal,en,03-09-03,1,10,FALSE,Horror
523419,Forward,es,01-01-16,5,6.8,FALSE,"Horror, Thriller"
523827,Ashes and Flames,en,03-02-95,0,0,FALSE,Horror
523830,Only Darkness,en,Paul nearly runs down a young woman (Nicole Streak) being pursued by a black-cloaked killer. The two barely escape,but soon discover the maniac is hunting them down wherever they go. The traumatized woman is unable to speak,yet she seems to hold the only key to both the killer's identity and his bloodthirsty motives. And as Paul is drawn deeper into the spiraling mystery,05-02-99,0
523831,Blood Strangler,en,04-05-18,0,0,FALSE,Horror
523852,Basketweave,en,13-10-06,0,0,FALSE,Horror
523856,The Redneck Against the Devil,pt,10-10-18,0,0,FALSE,Horror
523898,7th Graveyard,th,01-01-90,0,0,FALSE,Horror
523904,Holocaust of the Ogre Clan,th,01-01-90,0,0,FALSE,Horror
523906,Shift,th,01-01-91,0,0,FALSE,Horror
523911,Moving Temple Ghost,th,01-01-91,0,0,FALSE,Horror
523913,The Paranormal Gecko Ghost,th,01-01-91,0,0,FALSE,Horror
523939,The Groaning Drain,ja,31-07-04,0,0,FALSE,Horror
524011,Ghost Ghost Ghost!,ms,03-10-13,1,1,FALSE,"Comedy, Horror"
524285,MAKOTO,ja,19-02-05,0,0,FALSE,"Drama, Horror, Romance"
524619,Behind the Veil,en,01-07-16,0,0,FALSE,Horror
524623,Waiting,en,31-10-12,2,7,FALSE,"Animation, Horror"
524785,Boogeyman Pop,en,21-06-18,0,0,FALSE,"Action, Horror, Thriller"
524807,Steve's Kinkoes,en,10-01-18,0,0,FALSE,Horror
524859,Zombies Take the Schoolyard,en,07-06-10,2,7.5,FALSE,"Comedy, Horror"
524864,4426,dv,18-10-16,0,0,FALSE,Horror
524882,The Night-Time Winds,en,22-09-17,0,0,FALSE,"Drama, Horror, Thriller"
524899,Mannequin,en,01-01-16,1,2,FALSE,Horror
524925,Let's Be Friends,en,27-04-18,2,6.5,FALSE,"Fantasy, Horror"
525087,Evstrnger,es,01-09-17,2,7,FALSE,"Comedy, Horror"
